outcode,in_employment,unemployed,unemployment_pct
IP15,1127,1473,56.65
IP16,2857,2818,49.66
IP17,5099,5259,50.77
IP18,1436,2131,59.74
IP19,4109,4340,51.37
IP2,14437,11289,43.88
IP20,3915,3503,47.22
IP21,5639,4962,46.81
IP22,10614,8691,45.02
IP23,2976,2622,46.84
IP24,15501,9071,36.92
IP25,9784,9005,47.93
IP26,4737,3868,44.95
IP27,9660,6560,40.44
IP28,15888,9112,36.45
IP29,4261,3518,45.22
IP3,17873,11922,40.01
IP30,7044,5163,42.3
IP31,9323,7004,42.9
IP32,9550,5052,34.6
IP33,9949,8337,45.59
IP4,17844,11043,38.23
IP5,8407,5692,40.37
IP6,8428,5695,40.32
IP7,7483,5813,43.72
IP8,5063,3157,38.41
IP9,5200,4353,45.57
KT1,13566,9499,41.18
KT10,11161,7670,40.73
KT11,7498,6167,45.13
KT12,20481,11872,36.7
KT13,10700,6348,37.24
KT14,6829,3877,36.21
KT15,15141,8781,36.71
KT16,9996,6031,37.63
KT17,14946,9584,39.07
KT18,9611,6369,39.86
KT19,18600,10917,36.99
KT2,16194,9893,37.92
KT20,9123,6940,43.2
KT21,6646,4923,42.55
KT22,11566,7917,40.64
KT23,4617,4022,46.56
KT24,3646,2943,44.67
KT3,19887,12984,39.5
KT4,14290,8552,37.44
KT5,11223,6472,36.58
KT6,17174,8374,32.78
KT7,4550,2445,34.95
KT8,10343,6169,37.36
KT9,10369,5725,35.57
L1,7447,9055,54.87
L10,7768,5836,42.9
L11,13340,12413,48.2
L12,15169,11263,42.61
L13,14257,12893,47.49
L14,12442,10105,44.82
L15,13642,14339,51.25
L16,6995,5218,42.72
L17,12397,8695,41.22
L18,11847,9627,44.83
L19,10354,8028,43.67
L2,2316,2290,49.72
L20,16116,15162,48.47
L21,10550,8752,45.34
L22,7441,5120,40.76
L23,13590,10880,44.46
L24,7580,6423,45.87
L25,14391,13157,47.76
L26,6901,4957,41.8
L27,2328,2608,52.84
L28,2216,2506,53.07
L3,6989,7665,52.31
L30,8960,7534,45.68
L31,14823,11481,43.65
L32,9389,8105,46.33
L33,7690,6172,44.52
L34,8074,5604,40.97
L35,13981,11553,45.25
L36,16996,13952,45.08
L37,9955,9906,49.88
L38,987,975,49.69
L39,13325,14347,51.85
L4,16690,16908,50.32
L40,9597,7190,42.83
L5,3975,5248,56.9
L6,8262,10234,55.33
L67,92,56,37.84
L68,294,139,32.1
L69,2282,3463,60.28
L7,5835,9060,60.83
L70,31,59,65.56
L8,9645,11420,54.21
L9,12740,10318,44.75
LA1,25139,23842,48.68
LA10,1810,1555,46.21
LA11,5016,5055,50.19
LA12,9747,7700,44.13
LA13,10301,7689,42.74
LA14,15202,13052,46.2
LA15,3640,2507,40.78
LA16,1643,1048,38.94
LA17,546,496,47.6
LA18,3667,3409,48.18
LA19,349,269,43.53
LA2,10794,9581,47.02
LA20,546,422,43.6
LA21,712,542,43.22
LA22,2597,1831,41.35
LA23,3891,3039,43.85
LA3,11315,9235,44.94
LA4,10178,10281,50.25
LA5,7601,6889,47.54
LA6,5378,4353,44.73
LA7,2115,1931,47.73
LA8,4246,3067,41.94
LA9,15417,10526,40.57
LD1,5483,5282,49.07
LD2,2612,2122,44.82
LD3,8918,6875,43.53
LD4,338,312,48.0
LD5,341,359,51.29
LD6,1207,1064,46.85
LD7,2206,1828,45.31
