outcode,Total households,One Person household,Single family Household,Other household type
GU20,1836,455,1314,67
GU21,21150,5674,14060,1416
GU22,14598,3795,9657,1146
GU23,3125,805,2153,167
GU24,6220,1333,4579,308
GU25,2628,647,1786,195
GU26,3625,1118,2351,156
GU27,7844,2051,5512,281
GU28,3076,937,2008,131
GU29,4530,1522,2846,162
GU3,3637,945,2460,232
GU30,4153,1154,2805,194
GU31,6167,1802,4158,207
GU32,4764,1460,3096,208
GU33,3368,847,2367,154
GU34,14267,3792,9838,637
GU35,9194,2285,6397,512
GU4,5567,1501,3811,255
GU47,83,15,62,6
GU5,4641,1194,3219,228
GU51,2193,403,1689,101
GU52,552,85,437,30
GU6,6593,1981,4359,253
GU7,10209,2929,6809,471
GU8,6629,1760,4600,269
GU9,11623,3409,7493,721
HA0,18036,3522,10236,4278
HA1,17560,4771,10465,2324
HA2,20709,4188,13740,2781
HA3,25454,5000,15737,4717
HA4,21154,5231,14339,1584
HA5,17007,3990,11584,1433
HA6,8968,2463,5745,760
HA7,13563,3147,8696,1720
HA8,24143,5238,15118,3787
HA9,17941,4126,10348,3467
HD1,14701,5868,7421,1412
HD2,11258,3442,7103,713
HD3,14311,4738,9065,508
HD4,11494,3801,7068,625
HD5,12922,4372,7897,653
HD6,12536,4376,7784,376
HD7,24379,7054,16593,732
HD8,13985,3751,9822,412
HD9,125,40,83,2
HG1,17574,6586,10232,756
HG2,13620,4231,8921,468
HG3,12290,3287,8592,411
HG4,11112,3430,7317,365
HG5,8569,2486,5795,288
HP1,12417,3605,8238,574
HP10,9725,2560,6682,483
HP11,7903,2460,4682,761
HP12,7700,2097,4645,958
HP13,16472,4515,10570,1387
HP14,8111,1867,5834,410
HP15,6464,1581,4645,238
HP16,5278,1309,3757,212
HP17,11255,3039,7736,480
HP18,9132,1870,6775,487
HP19,11257,3232,7231,794
HP2,17168,4947,11038,1183
HP20,6367,2025,3941,401
HP21,13371,3976,8570,825
HP22,11435,2695,8251,489
HP23,8080,2300,5474,306
HP3,13271,3421,9018,832
HP4,10202,2906,6978,318
HP5,10752,3016,7088,648
HP6,6586,1579,4757,250
HP7,3932,1051,2734,147
HP8,2707,601,1979,127
HP9,6708,1689,4693,326
HR1,16186,5026,10306,854
HR2,16794,4792,11079,923
HR3,3928,1238,2512,178
HR4,12935,4158,8131,646
HR5,2930,953,1874,103
HR6,8888,2841,5674,373
HR7,4030,1225,2633,172
