outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
HU9,134756,734.0,6.54
HX1,154286,679.0,5.28
HX2,277347,856.0,3.7
HX3,325304,998.0,3.68
HX4,389451,861.0,2.65
HX5,231314,820.0,4.25
HX6,340965,787.0,2.77
HX7,360738,1426.0,4.74
IG1,517105,1699.0,3.94
IG10,874071,2363.0,3.24
IG11,325237,1784.0,6.58
IG2,411308,1820.0,5.31
IG3,508835,1819.0,4.29
IG4,632820,1781.0,3.38
IG5,596647,2258.0,4.54
IG6,543842,1840.0,4.06
IG7,1047366,3869.0,4.43
IG8,709160,2231.0,3.78
IG9,628979,2273.0,4.34
IP1,284114,1403.0,5.93
IP10,479353,3675.0,9.2
IP11,313093,1179.0,4.52
IP12,534823,1453.0,3.26
IP13,570250,1728.0,3.64
IP14,378410,1225.0,3.88
IP15,715317,2467.0,4.14
IP16,335180,1083.0,3.88
IP17,422691,1233.0,3.5
IP18,668846,1807.0,3.24
IP19,882672,1327.0,1.8
IP2,236826,1149.0,5.82
IP20,324547,1594.0,5.89
IP21,447277,1492.0,4.0
IP22,441944,1306.0,3.55
IP23,427315,1513.0,4.25
IP24,300207,1300.0,5.2
IP25,365650,1228.0,4.03
IP26,490122,1318.0,3.23
IP27,294617,1369.0,5.58
IP28,378947,1352.0,4.28
IP29,783507,1983.0,3.04
IP3,283323,1464.0,6.2
IP30,466541,1290.0,3.32
IP31,537959,1349.0,3.01
IP32,323595,1454.0,5.39
IP33,334372,1520.0,5.46
IP4,304827,1520.0,5.98
IP5,389158,1184.0,3.65
IP6,396946,1212.0,3.66
IP7,504874,868.0,2.06
IP8,440236,1200.0,3.27
IP9,489831,1300.0,3.18
KT1,660251,2567.0,4.67
KT10,1292289,4082.0,3.79
KT11,1453159,5251.0,4.34
KT12,809120,2822.0,4.19
KT13,1327951,3914.0,3.54
KT14,577996,2925.0,6.07
KT15,480002,2023.0,5.06
KT16,598326,2242.0,4.5
KT17,654473,2473.0,4.53
KT18,626008,2680.0,5.14
KT19,515299,2197.0,5.12
