outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
RM13,1538,2326,1719,2003,1856,1347,1122,1273,1655
RM14,2034,2790,2049,1922,1196,731,622,502,652
RM15,1534,2170,1660,1782,1853,1380,1434,1573,1958
RM16,3750,4990,3582,3582,3170,2319,2489,2864,3582
RM17,1334,1934,1447,1569,1505,1152,1210,1572,2513
RM18,739,1046,801,917,924,849,791,1028,1673
RM19,31,66,31,42,29,35,23,31,54
RM2,998,1485,980,817,523,415,294,274,362
RM3,2242,3872,2576,2482,2752,2211,1604,1561,2290
RM4,397,282,210,237,212,119,76,117,109
RM5,1063,1497,1231,1285,1429,926,747,747,985
RM6,1610,3246,1841,1794,1694,1506,1275,1265,2027
RM7,1355,2781,1564,1619,1604,1189,945,947,1326
RM8,1712,3072,2037,1941,2468,2369,1719,1980,3292
RM9,1243,2172,1390,1426,2050,1997,1252,1578,2635
S1,618,2326,1152,618,453,749,1127,306,1225
S10,2450,8566,2973,1528,1043,1347,1500,411,1555
S11,2354,6871,2472,1222,837,941,1112,424,1071
S12,1574,2504,1994,1979,2490,1909,1625,1374,2006
S13,1253,2204,1650,1532,2008,1628,1362,1243,1630
S14,227,426,298,262,408,565,403,299,693
S17,1364,2459,994,658,466,408,390,165,319
S18,1637,2454,1476,1227,1250,845,770,532,785
S19,1468,2443,1724,1557,1788,1284,1336,997,1362
S2,1116,3023,1831,1307,1634,2040,1907,1494,2946
S20,84,181,130,82,74,47,66,26,46
S21,1023,1409,1028,926,1316,1029,841,812,1041
S25,1100,1631,1193,952,1240,1051,803,863,1026
S26,1450,2162,1483,1287,1583,1121,1007,974,1145
S3,361,1648,806,448,364,492,617,392,971
S30,5144,8204,4781,3716,4549,3389,2635,2319,3107
S35,102,200,99,88,112,101,53,63,116
S36,59,84,43,36,27,21,18,11,17
S4,242,660,371,333,352,616,503,594,833
S40,2215,3575,2245,1798,1915,2021,1583,1291,1987
S41,1616,2708,1771,1534,1849,1887,1441,1275,1826
S42,1748,2385,1570,1308,1590,1336,1130,1004,1384
S43,1940,2709,1981,1746,2208,2349,1698,1698,2338
S44,959,1350,1005,884,1105,1085,727,872,1207
S45,572,649,570,470,691,670,495,569,752
S5,1273,2699,1855,1736,2605,3390,2624,2581,4351
S6,2518,6642,3452,2615,2816,2349,2005,1413,2511
S60,2164,3917,2348,2023,2213,1975,1950,2107,2352
S61,1292,1770,1605,1463,1949,1681,1557,1541,2033
S62,934,1235,1089,936,1338,1131,1162,1046,1366
S63,1769,2399,2015,1693,2518,1956,2105,2001,2709
S64,1069,1460,1249,1044,1674,1310,1345,1132,1717
S65,1004,1400,1166,927,1627,1521,1428,1571,2010
S66,2145,3129,2294,1933,2634,2178,1636,1763,2120
S7,797,2485,1091,546,446,426,525,453,496
S70,1751,2491,2015,1672,2374,2170,1869,2393,3898
S71,1952,2576,2244,1829,2770,2349,1996,2561,2976
S72,1014,1363,1163,961,1545,1472,1035,1401,1931
S73,1145,1494,1359,1105,1722,1315,1408,1472,1882
S74,701,961,840,729,1087,764,779,701,1010
S75,2645,3977,2666,2064,2424,1890,1462,1534,1896
S8,1997,5163,2780,1777,1907,1793,1650,1048,1685
S80,1280,1518,1212,912,1400,1468,1180,2115,2609
S81,2055,2739,1991,1606,2022,1729,1384,2022,2286
S9,613,1160,940,852,1119,1000,1179,1386,1711
SA1,1614,3326,2106,2024,2185,2512,2627,1604,3342
SA10,1399,2666,1889,1702,1715,1621,1137,1083,1253
SA11,1105,2048,1512,1568,1765,1824,1299,1316,1614
SA12,1136,1934,1489,1506,1529,1651,1199,1393,1743
SA13,551,869,677,716,855,943,584,731,867
SA14,1780,3062,2005,1659,2120,2220,1504,1449,1727
SA15,1298,2338,1610,1317,1830,2037,1486,1524,1820
SA16,310,571,419,346,435,463,267,260,326
SA17,390,642,414,372,584,524,291,294,376
SA18,1304,1974,1442,1292,1661,1699,1034,1136,1163
SA19,650,837,541,321,1182,447,272,258,358
SA2,1761,4351,1902,1532,1240,1262,1123,590,1108
SA20,126,177,94,71,277,156,84,88,147
SA3,1640,3071,1370,898,848,664,548,262,545
SA31,798,1747,920,704,1008,1091,903,514,1032
SA32,340,548,286,198,508,212,141,142,165
SA33,709,984,560,523,1254,579,415,346,495
SA34,370,421,293,209,611,271,132,189,259
SA35,84,85,42,54,154,55,45,46,70
SA37,181,162,83,81,342,87,62,78,92
SA38,253,306,211,159,455,238,153,132,186
SA39,143,176,131,95,405,180,116,124,112
SA4,2190,4422,2591,2480,2256,2357,1742,1341,1853
SA40,152,195,132,100,370,175,102,142,184
SA41,99,134,71,45,223,98,48,71,80
SA42,162,172,101,73,211,115,63,48,99
SA43,616,625,494,344,843,554,365,298,443
SA44,550,690,426,320,956,432,300,314,401
SA45,65,58,51,40,80,49,27,35,49
SA46,164,235,132,109,261,118,105,65,117
SA47,6,12,14,0,3,9,1,3,5
SA48,351,534,306,294,747,383,249,290,353
SA5,1112,1845,1434,1632,1868,2013,1710,1215,2063
SA6,1130,2448,1570,1881,1481,1655,1329,1036,1543
SA61,629,995,767,509,858,1066,721,521,861
SA62,1381,1672,1088,857,1973,1121,663,648,863
SA63,46,66,36,29,100,24,12,20,45
SA64,77,108,100,60,164,138,59,62,99
SA65,121,177,127,90,245,188,113,91,176
SA66,207,309,153,139,389,156,81,104,128
SA67,397,440,277,215,421,309,179,164,224
SA68,263,327,242,161,342,250,175,165,188
SA69,274,258,124,103,214,169,110,66,147
SA7,660,1057,730,808,765,712,636,447,633
SA70,475,431,311,227,527,387,267,154,374
SA71,466,635,434,354,655,620,332,381,538
SA72,310,386,385,319,620,640,362,352,538
SA73,687,940,776,684,1265,1231,741,739,1036
SA8,540,1091,743,661,619,621,441,401,475
SA9,486,922,652,621,876,846,451,572,593
SE1,7027,15809,7849,3103,1810,2918,2264,1461,4233
SE10,4389,9189,4531,1582,930,1344,1120,507,1317
SE11,1640,3763,2205,923,571,931,604,445,1240
SE12,2272,4142,2545,1316,1190,1344,977,691,1382
SE13,3545,7780,4678,1919,1544,1894,1406,815,2319
SE14,1894,4508,3385,1230,1098,1515,1070,718,2135
SE15,4239,9454,6402,2460,1911,3483,2184,1549,4181
SE16,4160,9696,4919,2303,1564,1969,1590,1086,2571
SE17,1756,4384,2638,1256,915,1593,1133,714,2322
SE18,4534,9151,6016,3310,3542,4700,3249,2522,6001
SE19,2594,4791,3199,1407,1030,1283,884,643,1211
SE2,984,1968,1222,904,1144,1447,941,936,1681
SE20,1738,3290,2286,1178,945,1109,765,572,1136
SE21,1930,3341,1828,618,515,601,365,231,538
SE22,3019,5982,3353,972,726,881,614,341,875
SE23,3146,6268,4064,1445,1174,1395,954,619,1236
SE24,1970,4325,2423,784,497,755,515,338,737
SE25,1952,3828,2695,1641,1354,1782,1080,969,1657
